		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69
1				2			2			2			2			2			2			2			2			2			2			2			2			2			2			2			2			2			2			2			2			2			2			2
2				3	3		3	3		3	3		3	3		3	3		3	3		3	3		3	3		3	3		3	3		3	3		3	3		3	3		3	3		3	3		3	3		3	3		3	3		3	3		3	3		3	3		3	3		3
3										6	6	6							6	6	6							6	6	6							6	6	6							6	6	6							6	6	6							6	6	6				
4							2			2	7	3	2			2			2	7	3	2			2			2	7	3	2			2			2	7	3	2			2			2	7	3	2			2			2	7	3	2			2			2	7	3	2			2
5							3	3		3	3	6	3	3		3	3		3	3	6	3	3		3	3		3	3	6	3	3		3	3		3	3	6	3	3		3	3		3	3	6	3	3		3	3		3	3	6	3	3		3	3		3	3	6	3	3		3
6										5	7	7	5	5	5				5	7	7	5	5	5				5	7	7	5	5	5				5	7	7	5	5	5				5	7	7	5	5	5				5	7	7	5	5	5				5	7	7	5	5	5	
7										2	3	2	2	4	2	2			2	3	2	2	4	2	2			2	3	2	2	4	2	2			2	3	2	2	4	2	2			2	3	2	2	4	2	2			2	3	2	2	4	2	2			2	3	2	2	4	2	2
8										3	3	6	3	3	3	3	3		3	3	6	3	3	3	3	3		3	3	6	3	3	3	3	3		3	3	6	3	3	3	3	3		3	3	6	3	3	3	3	3		3	3	6	3	3	3	3	3		3	3	6	3	3	3	3
9																												18	18	18	18	18	18	18	18	18																			18	18	18	18	18	18	18	18	18							
10													2			2			2			2			2			2	13	3	2	6	3	2	5	3	2			2			2			2			2			2			2	13	3	2	6	3	2	5	3	2			2			2
11													3	3		3	3		3	3		3	3		3	3		3	3	12	3	3	9	3	3	18	3	3		3	3		3	3		3	3		3	3		3	3		3	3	12	3	3	9	3	3	18	3	3		3	3		3
12																			6	6	6							6	6	6	19	6	21	6	7	7	6	6	6							6	6	6							6	6	6	19	6	21	6	7	7	6	6	6				
13																2			2	7	3	2			2			2	7	3	2	14	3	2	4	2	2	7	3	2			2			2	7	3	2			2			2	7	3	2	14	3	2	4	2	2	7	3	2			2
14																3	3		3	3	6	3	3		3	3		3	3	6	3	3	21	3	3	6	3	3	6	3	3		3	3		3	3	6	3	3		3	3		3	3	6	3	3	21	3	3	6	3	3	6	3	3		3
15																			5	7	7	5	5	5				5	7	7	5	5	5	16	5	18	5	7	7	5	5	5				5	7	7	5	5	5				5	7	7	5	5	5	16	5	18	5	7	7	5	5	5	
16																			2	3	2	2	4	2	2			2	3	2	2	4	2	2	19	3	2	3	2	2	4	2	2			2	3	2	2	4	2	2			2	3	2	2	4	2	2	19	3	2	3	2	2	4	2	2
17																			3	3	6	3	3	3	3	3		3	3	6	3	3	3	3	3	18	3	3	6	3	3	3	3	3		3	3	6	3	3	3	3	3		3	3	6	3	3	3	3	3	18	3	3	6	3	3	3	3
18																												11	13	13	19	15	21	17	19	19	11	11	11	11	11	12	11	11	11										11	13	13	19	15	21	17	19	19	11	11	11	11	11	12	11
19																						2			2			2	4	2	2	6	3	2	3	2	2	4	2	2	6	3	2	3	2	2			2			2			2	4	2	2	6	3	2	3	2	2	4	2	2	6	3	2
20																						3	3		3	3		3	3	12	3	3	21	3	3	18	3	3	3	3	3	12	3	3	9	3	3		3	3		3	3		3	3	12	3	3	21	3	3	18	3	3	3	3	3	12	3
21																												6	6	6	7	6	9	6	6	6	6	6	6	10	6	12	6	6	6	6	6	6							6	6	6	7	6	9	6	6	6	6	6	6	10	6	12	6
22																									2			2	7	3	2	6	3	2	7	3	2	7	3	2	5	3	2	4	2	2	7	3	2			2			2	7	3	2	6	3	2	7	3	2	7	3	2	5	3	2
23																									3	3		3	3	6	3	3	9	3	3	6	3	3	6	3	3	12	3	3	3	3	3	6	3	3		3	3		3	3	6	3	3	9	3	3	6	3	3	6	3	3	12	3
24																												5	7	7	5	5	5	16	6	18	5	7	7	5	5	5	7	5	9	5	7	7	5	5	5				5	7	7	5	5	5	16	6	18	5	7	7	5	5	5	7
25																												2	3	2	2	4	2	2	9	3	2	3	2	2	4	2	2	10	3	2	3	2	2	4	2	2			2	3	2	2	4	2	2	9	3	2	3	2	2	4	2	2
26																												3	3	6	3	3	3	3	3	18	3	3	6	3	3	3	3	3	9	3	3	6	3	3	3	3	3		3	3	6	3	3	3	3	3	18	3	3	6	3	3	3	3
27																																																																						
28																															2			2			2			2			2			2			2			2			2			2			2			2			2			2
29																															3	3		3	3		3	3		3	3		3	3		3	3		3	3		3	3		3	3		3	3		3	3		3	3		3	3		3
